원본 데이터셋,원본 테이블,원본 칼럼명,스키마상의 설명,스키마 자료형,스키마 Nullable,행 수,결측 수,결측률,고유값 수,실제 값 예시,실제 Python 자료형,분류,대상 클래스,대상 속성,속성 구분,RDF 자료형,단위 또는 코드 체계,필수 여부,변환 규칙,결측치 처리,비고 및 불확실성
PRBD01N001,domestic_bond,after_tax_yield,개인 세후 운용수익률,double precision,YES,21882,21248,97.1026%,474,3.2464 | 3.361 | 3.7969,float,기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,applied_yield,민평수익률/민평금리,double precision,YES,21882,0,0.0000%,3162,3.714 | 3.847 | 4.49,"float,int",기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),실제 전행 존재(스키마상 선택),MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,avg_annual_tax_yield,세후 연평균수익률,double precision,YES,21882,21248,97.1026%,1,0,int,기준일이 있는 관측값,YieldObservation,metricValue,DataProperty,xsd:decimal,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),조건부,MetricObservation으로 생성; 대응 기준일이 없으면 asOfDate를 생성하지 않음; 0과 결측을 구분,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,bdbns_abl_chnl_nm,채권매매가능채널구분명,text,YES,21882,21248,97.1026%,1,온오프 겸용,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,조건부,공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,bdbns_abl_chnl_tcd,채권매매가능채널구분코드,text,YES,21882,21248,97.1026%,1,0,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,조건부,공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,bd_inrt_tcd,금리구분,text,YES,21882,0,0.0000%,3,고정금리 | 변동금리 | 고정+변동금리,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,PERCENT (스키마 의미 기준; 값 범위 자동 환산 금지),실제 전행 존재(스키마상 선택),공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,bd_intp_tcd,이자지급구분,text,YES,21882,0,0.0000%,4,이표채 | 복리채 | 단리채,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,bd_knd,예탁원 기준 채권종류명,text,YES,21882,152,0.6946%,32,유동화회사채 | 일반지방공사채 | MBS,str,상품의 직접 속성,SourceFieldAssertion,rawValue,DataProperty,xsd:string,스키마에 명시 없음,조건부,원본 값과 정규화 값을 함께 보존; 별도 의미가 확인되기 전 추론에 사용하지 않음,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,bd_ofr_tcd,모집구분,text,YES,21882,0,0.0000%,2,공모 | 사모,str,코드 또는 분류 개념,RawCodeValue,codeValue,DataProperty,xsd:string,스키마에 명시 없음,실제 전행 존재(스키마상 선택),공식 코드표/설명 칼럼이 없으면 의미를 추정하지 않고 UNMAPPED_CODE로 보존,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
PRBD01N001,domestic_bond,bd_tisu_a,총발행금액,"numeric(26,8)",YES,21882,0,0.0000%,2790,10000000000 | 110000000000 | 130000000000,int,상품의 직접 속성,Bond,totalIssueAmount,DataProperty,xsd:decimal,통화는 행의 통화 칼럼과 결합; 없으면 UNKNOWN,실제 전행 존재(스키마상 선택),발행 시점 총액; 통화 코드와 함께 저장,노드를 생성하지 않으며 false/0/해당없음으로 치환하지 않음,실제 값 기반 프로파일; 코드 의미는 공식 코드표 없이는 미확정
